,location,value,pol,value,pol,AQIPM2.5,AQINO2,AQI
9,Midtown Business District,16.2,PM2.5,46.3,NO2,59.6223176,43.67924528,59.6223176
3,Greenwich Village,14.6,PM2.5,34.2,NO2,56.25751073,32.26415094,56.25751073
4,SoHo,14.6,PM2.5,34.2,NO2,56.25751073,32.26415094,56.25751073
10,Stuyvesant Town,14.4,PM2.5,39.9,NO2,55.83690987,37.64150943,55.83690987
11,Turtle Bay,14.4,PM2.5,39.9,NO2,55.83690987,37.64150943,55.83690987
7,Chelsea,14.3,PM2.5,35.5,NO2,55.62660944,33.49056604,55.62660944
8,Clinton,14.3,PM2.5,35.5,NO2,55.62660944,33.49056604,55.62660944
13,Upper East Side,13.8,PM2.5,35.9,NO2,54.5751073,33.86792453,54.5751073
29,University Heights,13.5,PM2.5,30,NO2,53.94420601,28.30188679,53.94420601
30,"Fordham, Mt Hope",13.5,PM2.5,30,NO2,53.94420601,28.30188679,53.94420601
5,Lower East Side,13,PM2.5,32.1,NO2,52.89270386,30.28301887,52.89270386
6,Chinatown,13,PM2.5,32.1,NO2,52.89270386,30.28301887,52.89270386
1,Battery Park City,12.9,PM2.5,36.3,NO2,52.68240343,34.24528302,52.68240343
2,Tribeca,12.9,PM2.5,36.3,NO2,52.68240343,34.24528302,52.68240343
12,Upper West Side,12.9,PM2.5,31.6,NO2,52.68240343,29.81132075,52.68240343
18,Washington Heights,12.9,PM2.5,28.2,NO2,52.68240343,26.60377358,52.68240343
19,Inwood,12.9,PM2.5,28.2,NO2,52.68240343,26.60377358,52.68240343
27,Highbridge,12.7,PM2.5,29.6,NO2,52.26180258,27.9245283,52.26180258
28,Concourse Village,12.7,PM2.5,29.6,NO2,52.26180258,27.9245283,52.26180258
33,Bedford Park,12.7,PM2.5,26.7,NO2,52.26180258,25.18867925,52.26180258
34,"Norwood, Fordham",12.7,PM2.5,26.7,NO2,52.26180258,25.18867925,52.26180258
48,Williamsburg,12.1,PM2.5,27.5,NO2,51,25.94339623,51
49,Greenpoint,12.1,PM2.5,27.5,NO2,51,25.94339623,51
83,Sunnyside,12.1,PM2.5,26.1,NO2,51,24.62264151,51
84,Woodside,12.1,PM2.5,26.1,NO2,51,24.62264151,51
23,Hunts Point,11.8,PM2.5,26.5,NO2,49.16666667,25,49.16666667
24,Longwood,11.8,PM2.5,26.5,NO2,49.16666667,25,49.16666667
31,East Tremont,11.8,PM2.5,26.8,NO2,49.16666667,25.28301887,49.16666667
32,Belmont,11.8,PM2.5,26.8,NO2,49.16666667,25.28301887,49.16666667
50,Brooklyn Heights,11.7,PM2.5,28.2,NO2,48.75,26.60377358,48.75
51,Fort Greene,11.7,PM2.5,28.2,NO2,48.75,26.60377358,48.75
14,Manhattanville,11.6,PM2.5,30.2,NO2,48.33333333,28.49056604,48.33333333
15,Hamilton Heights,11.6,PM2.5,30.2,NO2,48.33333333,28.49056604,48.33333333
20,Melrose,11.6,PM2.5,27.9,NO2,48.33333333,26.32075472,48.33333333
21,Mott Haven,11.6,PM2.5,27.9,NO2,48.33333333,26.32075472,48.33333333
22,Port Morris,11.6,PM2.5,27.9,NO2,48.33333333,26.32075472,48.33333333
17,East Harlem,11.5,PM2.5,30.1,NO2,47.91666667,28.39622642,47.91666667
16,Central Harlem,11.4,PM2.5,31,NO2,47.5,29.24528302,47.5
25,Morrisania,11.4,PM2.5,27,NO2,47.5,25.47169811,47.5
26,Crotona Park East,11.4,PM2.5,27,NO2,47.5,25.47169811,47.5
56,Park Slope,11.4,PM2.5,26.7,NO2,47.5,25.18867925,47.5
57,Carroll Gardens,11.4,PM2.5,26.7,NO2,47.5,25.18867925,47.5
38,Soundville,11.3,PM2.5,24.6,NO2,47.08333333,23.20754717,47.08333333
39,Parkchester,11.3,PM2.5,24.6,NO2,47.08333333,23.20754717,47.08333333
58,Sunset Park,11.1,PM2.5,24.9,NO2,46.25,23.49056604,46.25
59,Windsor Terrace,11.1,PM2.5,24.9,NO2,46.25,23.49056604,46.25
87,Elmhurst,11.1,PM2.5,27.6,NO2,46.25,26.03773585,46.25
88,South Corona,11.1,PM2.5,27.6,NO2,46.25,26.03773585,46.25
52,Bedford Stuyvesant,11,PM2.5,27.4,NO2,45.83333333,25.8490566,45.83333333
60,Crown Heights North,11,PM2.5,27.4,NO2,45.83333333,25.8490566,45.83333333
75,Brownsville,11,PM2.5,25.7,NO2,45.83333333,24.24528302,45.83333333
76,Ocean Hill,11,PM2.5,25.7,NO2,45.83333333,24.24528302,45.83333333
53,Bushwick,10.9,PM2.5,26,NO2,45.41666667,24.52830189,45.41666667
61,Crown Heights South,10.9,PM2.5,26.5,NO2,45.41666667,25,45.41666667
62,Wingate,10.9,PM2.5,26.5,NO2,45.41666667,25,45.41666667
81,Astoria,10.9,PM2.5,25.5,NO2,45.41666667,24.05660377,45.41666667
82,Long Island City,10.9,PM2.5,25.5,NO2,45.41666667,24.05660377,45.41666667
92,Forest Hills,10.9,PM2.5,24.7,NO2,45.41666667,23.30188679,45.41666667
93,Rego Park,10.9,PM2.5,24.7,NO2,45.41666667,23.30188679,45.41666667
77,East Flatbush,10.8,PM2.5,24.6,NO2,45,23.20754717,45
78,"Rugby, Farragut",10.8,PM2.5,24.6,NO2,45,23.20754717,45
35,Riverdale,10.7,PM2.5,21.5,NO2,44.58333333,20.28301887,44.58333333
36,Kingsbridge,10.7,PM2.5,21.5,NO2,44.58333333,20.28301887,44.58333333
37,Marble Hill,10.7,PM2.5,21.5,NO2,44.58333333,20.28301887,44.58333333
67,Borough Park,10.7,PM2.5,24.8,NO2,44.58333333,23.39622642,44.58333333
68,Ocean Parkway,10.7,PM2.5,24.8,NO2,44.58333333,23.39622642,44.58333333
71,Flatbush,10.7,PM2.5,23.8,NO2,44.58333333,22.45283019,44.58333333
72,Midwood,10.7,PM2.5,23.8,NO2,44.58333333,22.45283019,44.58333333
85,Jackson Heights,10.7,PM2.5,26.4,NO2,44.58333333,24.90566038,44.58333333
86,North Corona,10.7,PM2.5,26.4,NO2,44.58333333,24.90566038,44.58333333
43,Pelham Parkway,10.6,PM2.5,22.9,NO2,44.16666667,21.60377358,44.16666667
44,Morris Park,10.6,PM2.5,22.9,NO2,44.16666667,21.60377358,44.16666667
45,Laconia,10.6,PM2.5,22.9,NO2,44.16666667,21.60377358,44.16666667
54,East New York,10.6,PM2.5,22.9,NO2,44.16666667,21.60377358,44.16666667
55,Starrett City,10.6,PM2.5,22.9,NO2,44.16666667,21.60377358,44.16666667
63,Bay Ridge,10.6,PM2.5,23.4,NO2,44.16666667,22.0754717,44.16666667
64,Dyker Heights,10.6,PM2.5,23.4,NO2,44.16666667,22.0754717,44.16666667
89,Ridgewood,10.6,PM2.5,23.1,NO2,44.16666667,21.79245283,44.16666667
90,Glendale,10.6,PM2.5,23.1,NO2,44.16666667,21.79245283,44.16666667
91,Maspeth,10.6,PM2.5,23.1,NO2,44.16666667,21.79245283,44.16666667
40,Throgs Nk.,10.5,PM2.5,21.1,NO2,43.75,19.90566038,43.75
41,Co-op City,10.5,PM2.5,21.1,NO2,43.75,19.90566038,43.75
42,Pelham Bay,10.5,PM2.5,21.1,NO2,43.75,19.90566038,43.75
46,Wakefield,10.3,PM2.5,21.2,NO2,42.91666667,20,42.91666667
47,Williamsbridge,10.3,PM2.5,21.2,NO2,42.91666667,20,42.91666667
65,Bensonhurst,10.3,PM2.5,23.8,NO2,42.91666667,22.45283019,42.91666667
66,Bath Beach,10.3,PM2.5,23.8,NO2,42.91666667,22.45283019,42.91666667
97,Woodhaven,10.3,PM2.5,23.7,NO2,42.91666667,22.35849057,42.91666667
98,Richmond Hill,10.3,PM2.5,23.7,NO2,42.91666667,22.35849057,42.91666667
94,Flushing Bay Terrace,10.2,PM2.5,21.4,NO2,42.5,20.18867925,42.5
95,Fresh Meadows,10,PM2.5,21.7,NO2,41.66666667,20.47169811,41.66666667
96,Briarwood,10,PM2.5,21.7,NO2,41.66666667,20.47169811,41.66666667
104,Jamaica,10,PM2.5,22.9,NO2,41.66666667,21.60377358,41.66666667
105,St. Albans,10,PM2.5,22.9,NO2,41.66666667,21.60377358,41.66666667
106,Hollis,10,PM2.5,22.9,NO2,41.66666667,21.60377358,41.66666667
69,Coney Island,9.9,PM2.5,21.2,NO2,41.25,20,41.25
70,Brighton Beach,9.9,PM2.5,21.2,NO2,41.25,20,41.25
73,Sheepshead Bay,9.9,PM2.5,21,NO2,41.25,19.81132075,41.25
74,Gerritsen Beach,9.9,PM2.5,21,NO2,41.25,19.81132075,41.25
99,Ozone Park,9.9,PM2.5,21.7,NO2,41.25,20.47169811,41.25
100,Howard Beach,9.9,PM2.5,21.7,NO2,41.25,20.47169811,41.25
111,Stapleton,9.9,PM2.5,18.4,NO2,41.25,17.35849057,41.25
112,Port Richmond,9.9,PM2.5,18.4,NO2,41.25,17.35849057,41.25
101,Bayside,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
102,Douglastown,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
103,Little neck,9.8,PM2.5,19.3,NO2,40.83333333,18.20754717,40.83333333
107,Queens Village,9.7,PM2.5,20.8,NO2,40.41666667,19.62264151,40.41666667
108,Rosedale,9.7,PM2.5,20.8,NO2,40.41666667,19.62264151,40.41666667
79,Canarsie,9.6,PM2.5,19.9,NO2,40,18.77358491,40
80,Flatlands,9.6,PM2.5,19.9,NO2,40,18.77358491,40
113,New Springville,9.5,PM2.5,16.1,NO2,39.58333333,15.18867925,39.58333333
114,South Beach,9.5,PM2.5,16.1,NO2,39.58333333,15.18867925,39.58333333
115,Tottenville,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
116,Woodrow,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
117,Great Kills,9.4,PM2.5,15.4,NO2,39.16666667,14.52830189,39.16666667
109,The Rockaways,9.3,PM2.5,18,NO2,38.75,16.98113208,38.75
110,Broad Channel,9.3,PM2.5,18,NO2,38.75,16.98113208,38.75
